task,model,val_f1,test_f1,test_precision,test_recall,test_accuracy,val_macro_f1,test_macro_f1,test_macro_precision,test_macro_recall
victim_blaming,logreg,0.4286,0.5,0.3793,0.7333,0.7708,,,,
victim_blaming,linear_svm,0.3226,0.2609,0.375,0.2,0.8229,,,,
victim_blaming,naive_bayes,0.0,0.0,0.0,0.0,0.8438,,,,
victim_blaming,xgboost,0.3333,0.087,0.125,0.0667,0.7812,,,,
victim_blaming,transfinn,0.4118,0.303,0.2778,0.3333,0.7604,,,,
victim_blaming,bert,0.4,0.3889,0.3333,0.4667,0.7708,,,,
perpetrator_justification,logreg,0.6944,0.7089,0.6222,0.8235,0.7604,,,,
perpetrator_justification,linear_svm,0.6462,0.6462,0.6774,0.6176,0.7604,,,,
perpetrator_justification,naive_bayes,0.3404,0.4815,0.65,0.3824,0.7083,,,,
perpetrator_justification,xgboost,0.6207,0.4727,0.619,0.3824,0.6979,,,,
perpetrator_justification,transfinn,0.6667,0.5672,0.5758,0.5588,0.6979,,,,
perpetrator_justification,bert,0.6923,0.6154,0.6452,0.5882,0.7396,,,,
tone,logreg,,,,,0.6354,0.5569,0.6306,0.6271,0.6512
tone,linear_svm,,,,,0.6042,0.5881,0.5676,0.5884,0.5564
tone,naive_bayes,,,,,0.5521,0.3592,0.3499,0.6778,0.395
tone,xgboost,,,,,0.5938,0.5024,0.5279,0.5978,0.5115
tone,transfinn,,,,,0.5625,0.6377,0.5375,0.5315,0.5517
tone,bert,,,,,0.6458,0.5454,0.6297,0.6234,0.6395
